1bd9ddd50414715d10079b7f1d021fc7ec46c34a
Using arguments Cli { command: Build(BuildArgs { model_type: Regressor(RegressorArgs { labels: None, params: GenericBuildParams { degree: 3, num_coefficients: 4, hidden_layer_sizes: Some([2]), training_parameters: TrainArgs { data_file: "/tmp/tmp.YXQmh52ehB.json", num_epochs: 500, knot_update_interval: 100, knot_adaptivity: 0.1, learning_rate: 0.001, knot_extension_targets: Some([10, 20, 50]), knot_extension_times: Some([50, 100, 250]), validate_each_epoch: true, validation_split: 0.2, model_output_file: None, no_save: true } } }) }), log_output: true, num_threads: None }
Thread count not specified. Using 16 threads
Loading regression data from file: "/tmp/tmp.YXQmh52ehB.json"
creating validation set
Data loaded. Training: 80000, Validation: 20000
2024-07-30 19:45:52.538579407 +00:00 Epoch 1: Training Loss: 0.1900124123789639, Validation Loss: 0.13686004814844074
2024-07-30 19:45:52.616932801 +00:00 Epoch 2: Training Loss: 0.10705954047324254, Validation Loss: 0.08322304399467585
2024-07-30 19:45:52.692838289 +00:00 Epoch 3: Training Loss: 0.06946614414897091, Validation Loss: 0.05809701187567993
2024-07-30 19:45:52.767227368 +00:00 Epoch 4: Training Loss: 0.05178416342087195, Validation Loss: 0.046256198459808044
2024-07-30 19:45:52.841609525 +00:00 Epoch 5: Training Loss: 0.043389618783753275, Validation Loss: 0.04060598486806968
2024-07-30 19:45:52.915897593 +00:00 Epoch 6: Training Loss: 0.039326495045137355, Validation Loss: 0.037834841110300554
2024-07-30 19:45:52.990895153 +00:00 Epoch 7: Training Loss: 0.037282345296370596, Validation Loss: 0.03640102552296782
2024-07-30 19:45:53.066809481 +00:00 Epoch 8: Training Loss: 0.03617877373212191, Validation Loss: 0.035586629725418206
2024-07-30 19:45:53.142830583 +00:00 Epoch 9: Training Loss: 0.03551296775393112, Validation Loss: 0.035058110978456264
2024-07-30 19:45:53.219698556 +00:00 Epoch 10: Training Loss: 0.03505062160153969, Validation Loss: 0.03466075958432534
2024-07-30 19:45:53.296030186 +00:00 Epoch 11: Training Loss: 0.03468255016600123, Validation Loss: 0.034323019285413446
2024-07-30 19:45:53.372338008 +00:00 Epoch 12: Training Loss: 0.03435808716444382, Validation Loss: 0.03401198597211225
2024-07-30 19:45:53.447487837 +00:00 Epoch 13: Training Loss: 0.0340537105557628, Validation Loss: 0.03371249865912535
2024-07-30 19:45:53.522842318 +00:00 Epoch 14: Training Loss: 0.033758472471020984, Validation Loss: 0.033417683417286174
2024-07-30 19:45:53.607076816 +00:00 Epoch 15: Training Loss: 0.033467268369612245, Validation Loss: 0.03312448135211427
2024-07-30 19:45:53.683695856 +00:00 Epoch 16: Training Loss: 0.03317776586896734, Validation Loss: 0.0328315656755454
2024-07-30 19:45:53.760813284 +00:00 Epoch 17: Training Loss: 0.03288888344979776, Validation Loss: 0.03253855085749207
2024-07-30 19:45:53.839782601 +00:00 Epoch 18: Training Loss: 0.03260018001826732, Validation Loss: 0.03224508456139039
