5326de0d610870b51582f77e3c9cf706c42df490
Using arguments Cli { command: Build(BuildArgs { model_type: Regressor(RegressorArgs { labels: None, params: GenericBuildParams { degree: 3, num_coefficients: 4, hidden_layer_sizes: Some([2, 2]), training_parameters: TrainArgs { data_file: "/tmp/tmp.hfZPkRPzJX.json", num_epochs: 100, knot_update_interval: 100, knot_adaptivity: 0.1, learning_rate: 0.001, max_knot_length: Some(100), validate_each_epoch: true, validation_split: 0.2, model_output_file: None, no_save: true } } }) }), log_output: true }
Loading regression data from file: "/tmp/tmp.hfZPkRPzJX.json"
creating validation set
Data loaded. Training: 800000, Validation: 200000
2024-07-12 01:58:24.196453230 +00:00 Epoch 0: Training Loss: 0.15869798, Validation Loss: 0.10000937
2024-07-12 01:58:30.154751996 +00:00 Epoch 1: Training Loss: 0.11112324, Validation Loss: 0.092087284
2024-07-12 01:58:37.193168320 +00:00 Epoch 2: Training Loss: 0.087564275, Validation Loss: 0.094345495
2024-07-12 01:58:45.222943908 +00:00 Epoch 3: Training Loss: 0.07495337, Validation Loss: 0.052683197
2024-07-12 01:58:54.427787822 +00:00 Epoch 4: Training Loss: 0.06378833, Validation Loss: 0.050398156
2024-07-12 01:59:04.583317335 +00:00 Epoch 5: Training Loss: 0.05124416, Validation Loss: 0.047522757
2024-07-12 01:59:16.632389229 +00:00 Epoch 6: Training Loss: 0.048197035, Validation Loss: 0.042304922
2024-07-12 01:59:29.526108498 +00:00 Epoch 7: Training Loss: 0.042265028, Validation Loss: 0.035467792
2024-07-12 01:59:42.864110702 +00:00 Epoch 8: Training Loss: 0.040397793, Validation Loss: 0.032483127
2024-07-12 01:59:57.390739434 +00:00 Epoch 9: Training Loss: 0.04318523, Validation Loss: 0.03153495
2024-07-12 02:00:13.163114866 +00:00 Epoch 10: Training Loss: 0.04418908, Validation Loss: 0.040614206
2024-07-12 02:00:29.412508989 +00:00 Epoch 11: Training Loss: 0.046185166, Validation Loss: 0.039458964
2024-07-12 02:00:47.328518617 +00:00 Epoch 12: Training Loss: 0.044867955, Validation Loss: 0.045391895
2024-07-12 02:01:06.674896676 +00:00 Epoch 13: Training Loss: 0.043717355, Validation Loss: 0.047450073
2024-07-12 02:01:29.088963881 +00:00 Epoch 14: Training Loss: 0.045670815, Validation Loss: 0.044190582
2024-07-12 02:01:51.347834927 +00:00 Epoch 15: Training Loss: 0.046555772, Validation Loss: 0.040331233
2024-07-12 02:02:16.120910384 +00:00 Epoch 16: Training Loss: 0.050370567, Validation Loss: 0.06147958
2024-07-12 02:02:46.020788248 +00:00 Epoch 17: Training Loss: 0.063829176, Validation Loss: 0.051361796
2024-07-12 02:03:14.326511571 +00:00 Epoch 18: Training Loss: 0.049122408, Validation Loss: 0.049407493
2024-07-12 02:03:45.410472407 +00:00 Epoch 19: Training Loss: 0.053797457, Validation Loss: 0.09704405
2024-07-12 02:04:17.255439824 +00:00 Epoch 20: Training Loss: 0.107261874, Validation Loss: 0.11444187
2024-07-12 02:04:50.370730292 +00:00 Epoch 21: Training Loss: 0.17161469, Validation Loss: 0.08591669
2024-07-12 02:05:25.856249755 +00:00 Epoch 22: Training Loss: 0.0829983, Validation Loss: 0.16280518
2024-07-12 02:05:59.048967052 +00:00 Epoch 23: Training Loss: 0.08937141, Validation Loss: 0.12408208
2024-07-12 02:06:32.911095961 +00:00 Epoch 24: Training Loss: 0.08472419, Validation Loss: 0.1577647
2024-07-12 02:07:10.384551532 +00:00 Epoch 25: Training Loss: 0.19207722, Validation Loss: 0.12425096
2024-07-12 02:07:56.456887665 +00:00 Epoch 26: Training Loss: 0.13929595, Validation Loss: 0.12021484
2024-07-12 02:08:38.450981183 +00:00 Epoch 27: Training Loss: 0.16338356, Validation Loss: 0.118151024
2024-07-12 02:09:23.193706867 +00:00 Epoch 28: Training Loss: 0.13704033, Validation Loss: 0.10739651
2024-07-12 02:10:08.064581419 +00:00 Epoch 29: Training Loss: 0.14191517, Validation Loss: 0.32333288
2024-07-12 02:10:53.514303103 +00:00 Epoch 30: Training Loss: 0.44960117, Validation Loss: 0.35344148
2024-07-12 02:11:39.522712740 +00:00 Epoch 31: Training Loss: 0.29230508, Validation Loss: 0.24381453
2024-07-12 02:12:44.928139594 +00:00 Epoch 32: Training Loss: 0.24430752, Validation Loss: 0.19032061
2024-07-12 02:13:59.040025227 +00:00 Epoch 33: Training Loss: 0.20501696, Validation Loss: 0.18594141
2024-07-12 02:15:09.683369336 +00:00 Epoch 34: Training Loss: 0.18836913, Validation Loss: 0.264236
2024-07-12 02:16:18.306591180 +00:00 Epoch 35: Training Loss: 0.33723643, Validation Loss: 0.24826755
2024-07-12 02:17:33.144902879 +00:00 Epoch 36: Training Loss: 0.31478697, Validation Loss: 0.40213552
2024-07-12 02:18:55.578489396 +00:00 Epoch 37: Training Loss: 0.77240705, Validation Loss: 0.38871297
2024-07-12 02:20:14.671858700 +00:00 Epoch 38: Training Loss: 0.3122891, Validation Loss: 0.19427985
2024-07-12 02:21:34.342941024 +00:00 Epoch 39: Training Loss: 0.4047359, Validation Loss: 0.1903846
2024-07-12 02:22:54.073193659 +00:00 Epoch 40: Training Loss: 0.14411807, Validation Loss: 0.1406257
2024-07-12 02:24:24.893428820 +00:00 Epoch 41: Training Loss: 0.19206825, Validation Loss: 0.11741141
2024-07-12 02:25:56.261827982 +00:00 Epoch 42: Training Loss: 0.16757816, Validation Loss: 0.11948593
2024-07-12 02:27:28.431112009 +00:00 Epoch 43: Training Loss: 0.15433234, Validation Loss: 0.16560319
2024-07-12 02:29:14.930790485 +00:00 Epoch 44: Training Loss: 0.17653154, Validation Loss: 0.14157346
2024-07-12 02:30:59.311430227 +00:00 Epoch 45: Training Loss: 0.38206023, Validation Loss: 0.8049728
2024-07-12 02:32:44.087283859 +00:00 Epoch 46: Training Loss: 0.22448543, Validation Loss: 0.22152004
2024-07-12 02:34:33.764724845 +00:00 Epoch 47: Training Loss: 0.1760441, Validation Loss: 0.12007288
2024-07-12 02:36:09.182499622 +00:00 Epoch 48: Training Loss: 0.17096514, Validation Loss: 0.12162817
2024-07-12 02:37:53.835017962 +00:00 Epoch 49: Training Loss: 0.20886399, Validation Loss: 0.3686556
2024-07-12 02:39:48.048191349 +00:00 Epoch 50: Training Loss: 17.01606, Validation Loss: 11.422439
2024-07-12 02:41:43.196533402 +00:00 Epoch 51: Training Loss: 3.703465, Validation Loss: 0.19017349
2024-07-12 02:43:43.347958739 +00:00 Epoch 52: Training Loss: 0.93622416, Validation Loss: 0.33925676
2024-07-12 02:45:46.036431403 +00:00 Epoch 53: Training Loss: 0.36176214, Validation Loss: 0.44569734
2024-07-12 02:47:53.087099156 +00:00 Epoch 54: Training Loss: 0.31979153, Validation Loss: 0.17498617
2024-07-12 02:50:01.199979409 +00:00 Epoch 55: Training Loss: 0.20064317, Validation Loss: 0.13790675
2024-07-12 02:52:03.352336861 +00:00 Epoch 56: Training Loss: 0.20577145, Validation Loss: 0.3366848
2024-07-12 02:54:12.745158206 +00:00 Epoch 57: Training Loss: 0.5830217, Validation Loss: 0.33459336
2024-07-12 02:56:23.162748312 +00:00 Epoch 58: Training Loss: 0.32076934, Validation Loss: 0.36717767
2024-07-12 02:58:33.291178311 +00:00 Epoch 59: Training Loss: 0.2977505, Validation Loss: 0.37773046
2024-07-12 03:00:45.251923555 +00:00 Epoch 60: Training Loss: 0.35380355, Validation Loss: 0.2557856
2024-07-12 03:02:57.904970812 +00:00 Epoch 61: Training Loss: 0.36083335, Validation Loss: 0.36303005
2024-07-12 03:05:16.172101586 +00:00 Epoch 62: Training Loss: 0.33654475, Validation Loss: 0.22873269
2024-07-12 03:07:23.924162760 +00:00 Epoch 63: Training Loss: 0.29975423, Validation Loss: 0.27279946
2024-07-12 03:09:44.140505871 +00:00 Epoch 64: Training Loss: 0.25306812, Validation Loss: 0.20879939
2024-07-12 03:12:05.462707520 +00:00 Epoch 65: Training Loss: 0.25267735, Validation Loss: 0.6881524
2024-07-12 03:14:35.983368587 +00:00 Epoch 66: Training Loss: 0.7891986, Validation Loss: 1.2436013
2024-07-12 03:16:58.100258890 +00:00 Epoch 67: Training Loss: 1.3587617, Validation Loss: 0.585288
2024-07-12 03:19:47.578656864 +00:00 Epoch 68: Training Loss: 0.6237903, Validation Loss: 0.48577487
2024-07-12 03:22:39.715112840 +00:00 Epoch 69: Training Loss: 0.47684464, Validation Loss: 0.41559294
2024-07-12 03:25:44.440887745 +00:00 Epoch 70: Training Loss: 0.3407914, Validation Loss: 0.39082614
2024-07-12 03:28:52.448729051 +00:00 Epoch 71: Training Loss: 0.33134043, Validation Loss: 0.42450675
2024-07-12 03:31:57.308055933 +00:00 Epoch 72: Training Loss: 0.32888207, Validation Loss: 0.35331044
2024-07-12 03:34:57.464746021 +00:00 Epoch 73: Training Loss: 0.32581815, Validation Loss: 0.24068643
2024-07-12 03:38:01.201934714 +00:00 Epoch 74: Training Loss: 0.31055415, Validation Loss: 0.31844658
2024-07-12 03:41:03.779651676 +00:00 Epoch 75: Training Loss: 0.29804546, Validation Loss: 0.36951956
2024-07-12 03:44:09.872796727 +00:00 Epoch 76: Training Loss: 0.9520459, Validation Loss: 0.2939142
2024-07-12 03:47:15.163032228 +00:00 Epoch 77: Training Loss: 0.3052315, Validation Loss: 0.34122023
2024-07-12 03:50:29.064239284 +00:00 Epoch 78: Training Loss: 0.365012, Validation Loss: 0.32769457
2024-07-12 03:53:50.222647964 +00:00 Epoch 79: Training Loss: 0.31354678, Validation Loss: 0.23915726
2024-07-12 03:57:15.929187049 +00:00 Epoch 80: Training Loss: 0.32590163, Validation Loss: 0.3341863
2024-07-12 04:00:45.234646871 +00:00 Epoch 81: Training Loss: 0.3522117, Validation Loss: 0.17598146
2024-07-12 04:04:15.584004798 +00:00 Epoch 82: Training Loss: 0.34662098, Validation Loss: 0.29971647
2024-07-12 04:07:33.035908695 +00:00 Epoch 83: Training Loss: 0.33411974, Validation Loss: 0.33499768
2024-07-12 04:10:58.612563811 +00:00 Epoch 84: Training Loss: 0.26815942, Validation Loss: 0.18301646
2024-07-12 04:14:23.871227388 +00:00 Epoch 85: Training Loss: 0.36660078, Validation Loss: 0.37113515
2024-07-12 04:17:53.159182720 +00:00 Epoch 86: Training Loss: 0.33415392, Validation Loss: 0.44708407
2024-07-12 04:21:37.463585388 +00:00 Epoch 87: Training Loss: 0.34917277, Validation Loss: 0.21569706
2024-07-12 04:25:15.900078697 +00:00 Epoch 88: Training Loss: 0.28016618, Validation Loss: 0.15987764
2024-07-12 04:28:48.488777233 +00:00 Epoch 89: Training Loss: 0.27792975, Validation Loss: 0.16809666
2024-07-12 04:32:32.417999739 +00:00 Epoch 90: Training Loss: 0.34833387, Validation Loss: 0.32796335
2024-07-12 04:36:28.232636229 +00:00 Epoch 91: Training Loss: 0.31832552, Validation Loss: 0.13552943
2024-07-12 04:40:29.724777794 +00:00 Epoch 92: Training Loss: 0.334132, Validation Loss: 0.18731351
2024-07-12 04:44:45.751715199 +00:00 Epoch 93: Training Loss: 0.19371906, Validation Loss: 0.12014177
2024-07-12 04:49:06.878053662 +00:00 Epoch 94: Training Loss: 0.14232731, Validation Loss: 0.11436405
2024-07-12 04:53:31.786498266 +00:00 Epoch 95: Training Loss: 0.12512125, Validation Loss: 0.10047725
2024-07-12 04:58:00.873563879 +00:00 Epoch 96: Training Loss: 0.11849594, Validation Loss: 0.09919953
2024-07-12 05:02:33.854688572 +00:00 Epoch 97: Training Loss: 0.116250195, Validation Loss: 0.10496239
2024-07-12 05:07:11.473213722 +00:00 Epoch 98: Training Loss: 0.11600543, Validation Loss: 0.093109645
2024-07-12 05:11:37.159073367 +00:00 Epoch 99: Training Loss: 0.111007795, Validation Loss: 0.106261015
