1bd9ddd50414715d10079b7f1d021fc7ec46c34a
Using arguments Cli { command: Build(BuildArgs { model_type: Regressor(RegressorArgs { labels: None, params: GenericBuildParams { degree: 3, num_coefficients: 4, hidden_layer_sizes: Some([6, 4, 1]), training_parameters: TrainArgs { data_file: "/tmp/tmp.tC5vR1xjvb.json", num_epochs: 500, knot_update_interval: 100, knot_adaptivity: 0.1, learning_rate: 0.001, knot_extension_targets: Some([10, 20, 50]), knot_extension_times: Some([50, 100, 250]), validate_each_epoch: true, validation_split: 0.2, model_output_file: None, no_save: true } } }) }), log_output: true, num_threads: None }
Thread count not specified. Using 8 threads
Loading regression data from file: "/tmp/tmp.tC5vR1xjvb.json"
creating validation set
Data loaded. Training: 80000, Validation: 20000
2024-07-30 20:34:40.216368450 +00:00 Epoch 1: Training Loss: 12.995515535654814, Validation Loss: 5.520262132284069
2024-07-30 20:34:41.416801918 +00:00 Epoch 2: Training Loss: 12.697652995998627, Validation Loss: 5.381189046643968
2024-07-30 20:34:42.602946975 +00:00 Epoch 3: Training Loss: 12.617547775463011, Validation Loss: 5.340571520644745
2024-07-30 20:34:43.788321257 +00:00 Epoch 4: Training Loss: 12.591242290381873, Validation Loss: 5.326950372326106
2024-07-30 20:34:44.985761970 +00:00 Epoch 5: Training Loss: 12.580722126551532, Validation Loss: 5.322580624082936
2024-07-30 20:34:46.193881552 +00:00 Epoch 6: Training Loss: 12.576694429308636, Validation Loss: 5.321964433679741
2024-07-30 20:34:47.390010339 +00:00 Epoch 7: Training Loss: 12.575355447208551, Validation Loss: 5.322911118282588
2024-07-30 20:34:48.587432230 +00:00 Epoch 8: Training Loss: 12.575381183980198, Validation Loss: 5.3247716168956325
2024-07-30 20:34:49.787927321 +00:00 Epoch 9: Training Loss: 12.576003364435177, Validation Loss: 5.327059079945086
2024-07-30 20:34:50.987809541 +00:00 Epoch 10: Training Loss: 12.576934489705797, Validation Loss: 5.329388589473515
2024-07-30 20:34:52.192894693 +00:00 Epoch 11: Training Loss: 12.577678927757486, Validation Loss: 5.331504871547703
2024-07-30 20:34:53.380299581 +00:00 Epoch 12: Training Loss: 12.578086028466872, Validation Loss: 5.3333189344776
2024-07-30 20:34:54.575128100 +00:00 Epoch 13: Training Loss: 12.578152385487163, Validation Loss: 5.334879256211097
2024-07-30 20:34:55.771222160 +00:00 Epoch 14: Training Loss: 12.577934275349307, Validation Loss: 5.336115004700064
2024-07-30 20:34:56.961014268 +00:00 Epoch 15: Training Loss: 12.577625407299708, Validation Loss: 5.337105351820118
2024-07-30 20:34:58.156423810 +00:00 Epoch 16: Training Loss: 12.577316640903192, Validation Loss: 5.337770858174072
2024-07-30 20:34:59.354998875 +00:00 Epoch 17: Training Loss: 12.57675403145841, Validation Loss: 5.338214841773817
2024-07-30 20:35:00.548449960 +00:00 Epoch 18: Training Loss: 12.575890218438214, Validation Loss: 5.338443329070113
2024-07-30 20:35:01.745828847 +00:00 Epoch 19: Training Loss: 12.574977423823375, Validation Loss: 5.338377960254239
2024-07-30 20:35:02.952267843 +00:00 Epoch 20: Training Loss: 12.574111988565313, Validation Loss: 5.3380915685504124
2024-07-30 20:35:04.158411868 +00:00 Epoch 21: Training Loss: 12.573154106081665, Validation Loss: 5.337632057747034
2024-07-30 20:35:05.360681498 +00:00 Epoch 22: Training Loss: 12.57208068545925, Validation Loss: 5.337026946549349
2024-07-30 20:35:06.551346010 +00:00 Epoch 23: Training Loss: 12.570993414437808, Validation Loss: 5.336301863795389
2024-07-30 20:35:07.748953257 +00:00 Epoch 24: Training Loss: 12.569942011278693, Validation Loss: 5.335488433086141
2024-07-30 20:35:08.947267277 +00:00 Epoch 25: Training Loss: 12.56892827903037, Validation Loss: 5.3346112741678295
2024-07-30 20:35:10.145016097 +00:00 Epoch 26: Training Loss: 12.567946234734553, Validation Loss: 5.333678346768411
2024-07-30 20:35:11.317524704 +00:00 Epoch 27: Training Loss: 12.566985472583763, Validation Loss: 5.3327009622962
