402a44a8295b22f6c69e9caa691a5362833c8beb
Using arguments Cli { command: Build(BuildArgs { model_type: Regressor(RegressorArgs { labels: None, params: GenericBuildParams { degree: 3, num_coefficients: 4, hidden_layer_sizes: Some([6, 4, 2, 1]), training_parameters: TrainArgs { data_file: "/tmp/tmp.OAvR4VodKq.json", num_epochs: 100, knot_update_interval: 100, knot_adaptivity: 0.1, learning_rate: 0.001, validate_each_epoch: true, validation_split: 0.2, model_output_file: None, no_save: true } } }) }), log_output: true }
Loading regression data from file: "/tmp/tmp.OAvR4VodKq.json"
creating validation set
Data loaded. Training: 800000, Validation: 200000
2024-07-06 19:11:38.067843620 +00:00 Epoch 0: Training Loss: 136.77692, Validation Loss: 18.519976
2024-07-06 19:12:12.317835798 +00:00 Epoch 1: Training Loss: 136.82524, Validation Loss: 18.45883
2024-07-06 19:12:46.630856371 +00:00 Epoch 2: Training Loss: 136.7982, Validation Loss: 18.436329
2024-07-06 19:13:21.065506536 +00:00 Epoch 3: Training Loss: 136.7709, Validation Loss: 18.395758
2024-07-06 19:13:55.480434554 +00:00 Epoch 4: Training Loss: 136.74016, Validation Loss: 18.438816
2024-07-06 19:14:29.731003313 +00:00 Epoch 5: Training Loss: 136.72171, Validation Loss: 18.410568
2024-07-06 19:15:04.049477311 +00:00 Epoch 6: Training Loss: 136.73653, Validation Loss: 18.367022
2024-07-06 19:15:38.384872198 +00:00 Epoch 7: Training Loss: 136.71236, Validation Loss: 18.413273
2024-07-06 19:16:12.336521337 +00:00 Epoch 8: Training Loss: 136.73962, Validation Loss: 18.377335
2024-07-06 19:17:00.501638587 +00:00 Epoch 9: Training Loss: 136.74385, Validation Loss: 18.43384
2024-07-06 19:17:39.577684488 +00:00 Epoch 10: Training Loss: 136.74927, Validation Loss: 18.4084
2024-07-06 19:18:14.017255134 +00:00 Epoch 11: Training Loss: 136.7139, Validation Loss: 18.41215
2024-07-06 19:18:50.190816620 +00:00 Epoch 12: Training Loss: 136.70523, Validation Loss: 18.417902
2024-07-06 19:19:29.290857567 +00:00 Epoch 13: Training Loss: 136.70576, Validation Loss: 18.41595
2024-07-06 19:20:03.118817079 +00:00 Epoch 14: Training Loss: 136.70238, Validation Loss: 18.417309
2024-07-06 19:20:37.008431607 +00:00 Epoch 15: Training Loss: 136.70287, Validation Loss: 18.41158
2024-07-06 19:21:10.837235554 +00:00 Epoch 16: Training Loss: 136.70387, Validation Loss: 18.39859
2024-07-06 19:21:49.467038945 +00:00 Epoch 17: Training Loss: 136.70676, Validation Loss: 18.393612
2024-07-06 19:22:36.806321919 +00:00 Epoch 18: Training Loss: 136.70969, Validation Loss: 18.407322
2024-07-06 19:23:23.937172556 +00:00 Epoch 19: Training Loss: 136.71062, Validation Loss: 18.476206
2024-07-06 19:24:02.133419026 +00:00 Epoch 20: Training Loss: 136.728, Validation Loss: 18.44569
2024-07-06 19:24:38.849625626 +00:00 Epoch 21: Training Loss: 136.73853, Validation Loss: 18.383444
2024-07-06 19:25:17.721634146 +00:00 Epoch 22: Training Loss: 136.73158, Validation Loss: 18.51141
2024-07-06 19:25:57.225000279 +00:00 Epoch 23: Training Loss: 136.83694, Validation Loss: 18.458708
2024-07-06 19:26:31.148165519 +00:00 Epoch 24: Training Loss: 136.7954, Validation Loss: 18.40354
2024-07-06 19:27:04.965556976 +00:00 Epoch 25: Training Loss: 136.76714, Validation Loss: 18.379982
2024-07-06 19:27:38.825223741 +00:00 Epoch 26: Training Loss: 136.7342, Validation Loss: 18.440664
2024-07-06 19:28:13.504877831 +00:00 Epoch 27: Training Loss: 136.73167, Validation Loss: 18.384975
2024-07-06 19:28:47.389039155 +00:00 Epoch 28: Training Loss: 136.72466, Validation Loss: 18.401611
2024-07-06 19:29:21.505325237 +00:00 Epoch 29: Training Loss: 136.8402, Validation Loss: 18.55957
2024-07-06 19:29:55.366288436 +00:00 Epoch 30: Training Loss: 136.9262, Validation Loss: 18.54738
2024-07-06 19:30:29.361594374 +00:00 Epoch 31: Training Loss: 136.87656, Validation Loss: 18.443789
2024-07-06 19:31:03.282034597 +00:00 Epoch 32: Training Loss: 136.78477, Validation Loss: 18.428297
2024-07-06 19:31:37.110834900 +00:00 Epoch 33: Training Loss: 136.75877, Validation Loss: 18.434557
2024-07-06 19:32:11.020826129 +00:00 Epoch 34: Training Loss: 136.7983, Validation Loss: 18.367613
2024-07-06 19:32:44.943945233 +00:00 Epoch 35: Training Loss: 136.77032, Validation Loss: 18.390707
2024-07-06 19:33:18.824024415 +00:00 Epoch 36: Training Loss: 136.76736, Validation Loss: 18.55421
2024-07-06 19:33:52.682245203 +00:00 Epoch 37: Training Loss: 136.78926, Validation Loss: 18.474174
2024-07-06 19:34:29.053622080 +00:00 Epoch 38: Training Loss: 136.79498, Validation Loss: 18.421064
2024-07-06 19:35:02.940566131 +00:00 Epoch 39: Training Loss: 136.78802, Validation Loss: 18.515976
2024-07-06 19:35:36.859008612 +00:00 Epoch 40: Training Loss: 136.77327, Validation Loss: 18.588427
2024-07-06 19:36:10.730376548 +00:00 Epoch 41: Training Loss: 136.79002, Validation Loss: 18.499805
2024-07-06 19:36:48.102328978 +00:00 Epoch 42: Training Loss: 136.75693, Validation Loss: 18.396898
2024-07-06 19:37:30.164357260 +00:00 Epoch 43: Training Loss: 136.76874, Validation Loss: 18.410076
2024-07-06 19:38:18.801062885 +00:00 Epoch 44: Training Loss: 136.82545, Validation Loss: 18.569084
2024-07-06 19:39:08.136352139 +00:00 Epoch 45: Training Loss: 136.8233, Validation Loss: 18.456678
2024-07-06 19:39:57.295255131 +00:00 Epoch 46: Training Loss: 136.76791, Validation Loss: 18.4077
2024-07-06 19:40:45.786811593 +00:00 Epoch 47: Training Loss: 136.7634, Validation Loss: 18.512644
2024-07-06 19:41:34.318294052 +00:00 Epoch 48: Training Loss: 136.89317, Validation Loss: 18.593533
2024-07-06 19:42:22.510903426 +00:00 Epoch 49: Training Loss: 136.89133, Validation Loss: 18.508646
2024-07-06 19:43:11.064427448 +00:00 Epoch 50: Training Loss: 136.77492, Validation Loss: 18.407322
2024-07-06 19:43:46.782186648 +00:00 Epoch 51: Training Loss: 136.79225, Validation Loss: 18.451159
2024-07-06 19:44:20.683229575 +00:00 Epoch 52: Training Loss: 136.77853, Validation Loss: 18.45315
2024-07-06 19:44:54.498212511 +00:00 Epoch 53: Training Loss: 136.7597, Validation Loss: 18.59143
2024-07-06 19:45:28.788888128 +00:00 Epoch 54: Training Loss: 136.83054, Validation Loss: 18.411526
2024-07-06 19:46:07.562379566 +00:00 Epoch 55: Training Loss: 136.74837, Validation Loss: 18.414295
2024-07-06 19:46:56.944962065 +00:00 Epoch 56: Training Loss: 136.717, Validation Loss: 18.410006
2024-07-06 19:47:34.730164054 +00:00 Epoch 57: Training Loss: 136.7352, Validation Loss: 18.49725
2024-07-06 19:48:19.205079766 +00:00 Epoch 58: Training Loss: 136.8807, Validation Loss: 18.725458
2024-07-06 19:49:07.418776071 +00:00 Epoch 59: Training Loss: 136.92432, Validation Loss: 18.504852
2024-07-06 19:49:55.881928283 +00:00 Epoch 60: Training Loss: 136.84334, Validation Loss: 18.385494
2024-07-06 19:50:44.415026593 +00:00 Epoch 61: Training Loss: 136.7749, Validation Loss: 18.375114
2024-07-06 19:51:32.647561074 +00:00 Epoch 62: Training Loss: 136.7589, Validation Loss: 18.350428
2024-07-06 19:52:20.437347431 +00:00 Epoch 63: Training Loss: 136.72298, Validation Loss: 18.32715
2024-07-06 19:53:06.140919181 +00:00 Epoch 64: Training Loss: 136.70792, Validation Loss: 18.350636
2024-07-06 19:53:51.729820449 +00:00 Epoch 65: Training Loss: 136.81996, Validation Loss: 18.511293
2024-07-06 19:54:38.208430801 +00:00 Epoch 66: Training Loss: 136.89513, Validation Loss: 18.4849
